cosmo,Notes,$\Omega_b$,$\Omega_c$,$h$,$A_s$,$n_s$,$\alpha_s$,$N_{ur}$,$N_{ncdm}$,$\Omega_{ncdm}$,$w_0$,$w_a$,$\sigma_8$,"$\sigma_{8,cb}$"
c130,Emulatorgridaroundbaselinecosmology,0.02237,0.12,0.6736,1.614e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.711201,0.714197
c131,Emulatorgridaroundbaselinecosmology,0.02237,0.1086,0.7165,2.3146e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.807866,0.811587
c132,Emulatorgridaroundbaselinecosmology,0.02237,0.12,0.6736,2.1791e-09,0.9049,0.0,2.0328,1,0.0006442,-1.0,0.0,0.808189,0.811584
c133,Emulatorgridaroundbaselinecosmology,0.02237,0.12,0.6736,2.6144e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.905163,0.908976
c134,Emulatorgridaroundbaselinecosmology,0.02237,0.1326,0.6319,1.9066e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.808458,0.811566
c135,Emulatorgridaroundbaselinecosmology,0.02237,0.12,0.6736,1.9904e-09,1.0249,0.0,2.0328,1,0.0006442,-1.0,0.0,0.80816,0.811573
c136,Emulatorgridaroundbaselinecosmology,0.02073,0.1192,0.6618,2.5239e-09,0.9303,0.0,2.0328,1,0.0006442,-1.0,0.0,0.882475,0.886249
c137,Emulatorgridaroundbaselinecosmology,0.02212,0.1271,0.6472,1.654e-09,0.9252,0.0,2.0328,1,0.0006442,-1.0,0.0,0.729693,0.732609
c138,Emulatorgridaroundbaselinecosmology,0.02108,0.1138,0.6847,2.2282e-09,0.9723,0.0,2.0328,1,0.0006442,-1.0,0.0,0.821432,0.825095
c139,Emulatorgridaroundbaselinecosmology,0.02416,0.1128,0.7164,2.1681e-09,0.9732,0.0,2.0328,1,0.0006442,-1.0,0.0,0.793003,0.796493
c140,Emulatorgridaroundbaselinecosmology,0.02096,0.1221,0.6536,1.8126e-09,0.9893,0.0,2.0328,1,0.0006442,-1.0,0.0,0.772033,0.775267
c141,Emulatorgridaroundbaselinecosmology,0.02381,0.1272,0.6623,1.9945e-09,0.9384,0.0,2.0328,1,0.0006442,-1.0,0.0,0.799575,0.802737
c142,Emulatorgridaroundbaselinecosmology,0.02287,0.113,0.7038,1.6701e-09,0.9927,0.0,2.0328,1,0.0006442,-1.0,0.0,0.707082,0.710219
c143,Emulatorgridaroundbaselinecosmology,0.02206,0.1278,0.6443,2.1084e-09,0.9952,0.0,2.0328,1,0.0006442,-1.0,0.0,0.847522,0.850903
c144,Emulatorgridaroundbaselinecosmology,0.0221,0.113,0.6968,2.7653e-09,0.9279,0.0,2.0328,1,0.0006442,-1.0,0.0,0.89136,0.895324
c145,Emulatorgridaroundbaselinecosmology,0.02428,0.1186,0.6961,2.1634e-09,0.9347,0.0,2.0328,1,0.0006442,-1.0,0.0,0.801404,0.804769
c146,Emulatorgridaroundbaselinecosmology,0.02097,0.118,0.6682,1.902e-09,0.9351,0.0,2.0328,1,0.0006442,-1.0,0.0,0.762696,0.765984
c147,Emulatorgridaroundbaselinecosmology,0.02113,0.1215,0.6498,1.9081e-09,0.9587,0.0,2.0328,1,0.0006442,-0.809,-0.628,0.777157,0.780416
c148,Emulatorgridaroundbaselinecosmology,0.02289,0.1201,0.6199,1.9629e-09,0.938,0.0,2.0328,1,0.0006442,-0.925,0.393,0.714913,0.717888
c149,Emulatorgridaroundbaselinecosmology,0.02188,0.12,0.6688,2.1521e-09,0.9913,0.0,2.0328,1,0.0006442,-1.174,0.613,0.824854,0.828343
c150,Emulatorgridaroundbaselinecosmology,0.02248,0.1216,0.7224,2.5099e-09,0.9355,0.0,2.0328,1,0.0006442,-1.09,-0.373,0.937655,0.94157
c151,Emulatorgridaroundbaselinecosmology,0.02315,0.1254,0.6582,2.2686e-09,0.9757,0.0,2.0328,1,0.0006442,-0.826,-0.615,0.86082,0.864288
c152,Emulatorgridaroundbaselinecosmology,0.02165,0.1148,0.6204,1.7965e-09,0.9541,0.0,2.0328,1,0.0006442,-0.732,-0.187,0.677885,0.680849
c153,Emulatorgridaroundbaselinecosmology,0.02192,0.1199,0.6092,2.2946e-09,0.9917,0.0,2.0328,1,0.0006442,-0.735,-0.172,0.794389,0.797729
c154,Emulatorgridaroundbaselinecosmology,0.02158,0.1148,0.7426,2.0689e-09,0.9538,0.0,2.0328,1,0.0006442,-1.076,-0.395,0.838698,0.842413
c155,Emulatorgridaroundbaselinecosmology,0.02369,0.1184,0.6247,2.0723e-09,0.9713,0.0,2.0328,1,0.0006442,-0.727,-0.184,0.735302,0.738388
c156,Emulatorgridaroundbaselinecosmology,0.02202,0.1261,0.6499,1.9738e-09,0.9678,0.0,2.0328,1,0.0006442,-1.176,0.621,0.801974,0.80521
c157,Emulatorgridaroundbaselinecosmology,0.02247,0.1214,0.6668,2.5108e-09,0.9356,0.0,2.0328,1,0.0006442,-1.167,0.616,0.872315,0.875941
c158,Emulatorgridaroundbaselinecosmology,0.02201,0.1262,0.6958,1.8626e-09,0.9667,0.0,2.0328,1,0.0006442,-1.082,-0.392,0.829816,0.833179
c160,Emulatorgridaroundbaselinecosmology,0.02223,0.1185,0.7456,2.0963e-09,0.9942,0.0,2.0328,1,0.0006442,-1.271,0.217,0.876756,0.880523
c161,Emulatorgridaroundbaselinecosmology,0.02282,0.1274,0.733,1.9688e-09,0.9649,0.026,2.7283,1,0.0006442,-1.0,0.0,0.793066,0.796247
c162,Emulatorgridaroundbaselinecosmology,0.02136,0.1048,0.6383,2.1592e-09,0.9297,-0.026,1.3521,1,0.0006442,-1.0,0.0,0.779589,0.783285
c163,Emulatorgridaroundbaselinecosmology,0.02135,0.129,0.728,2.1689e-09,0.9922,-0.018,2.8575,1,0.0006442,-1.0,0.0,0.838824,0.842187
